Run_RNA,Run_epi,BC_epi,BC_RNA,Exp,Plate,Well,FSC.A,FSC.W,FSC.H,SSC.A,SSC.W,SSC.H,CD29_Yel.Gr.C.610_20.A,EpCAM_Yel.Gr.A.780_60.A,Live_dead_Red.A.780_60.A,Lin_Violet.E.525_50.A,Sca1_Violet.C.670_30.A,Tspan8_UV.C.379_28.A,facs_phenotype,facs_phenotype_expanded
P108,N253,p2-E05-luminal-Sca1-pos-K4-F9689,P108T0166_luminal-Sca1-pos,exp4,p2,E05,79933.70313,104461.5,50148,145849,102267.8281,93464,3662.042343,15548.62014,-48.61350011,472.5850687,2801.542285,2069.554352,luminal,luminal-Sca1-pos
P108,N253,p2-G05-basal-Tspan8-pos-K4-F9689,P108T0167_basal-Tspan8-pos,exp4,p2,G05,169895.75,96799.69531,115024,108903.3047,106460.125,67040,115693.5213,12605.552,234.2324768,-306.4750366,-218.0796967,11623.23579,basal,basal-Tspan8-pos
P108,N253,p2-H05-luminal-Sca1-pos-K4-F9739,P108T0168_luminal-Sca1-pos,exp4,p2,H05,139893.0469,86498.20313,105991,219514.9063,90830.70313,158384,3715.992061,18128.27889,-74.2117137,754.0695968,8480.988229,1862.856018,luminal,luminal-Sca1-pos
P108,N253,p2-I05-luminal-Sca1-neg-K4-F9739,P108T0169_luminal-Sca1-neg,exp4,p2,I05,177104.625,95339.52344,121741,212518.9063,93269.39063,149327,9711.475003,32530.81753,-320.3989509,833.2527623,1126.153194,2086.929027,luminal,luminal-Sca1-neg
P108,N253,p2-J05-luminal-Sca1-pos-K4-F9739,P108T0170_luminal-Sca1-pos,exp4,p2,J05,157187.1094,99865.375,103153,233225.3125,100686.7656,151804,17406.9252,58135.38312,-612.860611,202.8763519,14327.91123,6963.364394,luminal,luminal-Sca1-pos
P108,N253,p2-K05-luminal-Sca1-neg-K4-F9739,P108T0171_luminal-Sca1-neg,exp4,p2,K05,125226.3594,110107.125,74535,120880.1016,125897.8828,62924,7706.092458,27026.99097,-241.4567416,290.7170058,798.4106097,41759.27463,luminal,luminal-Sca1-neg
P108,N253,p2-L05-basal-Tspan8-pos-K4-F9739,P108T0172_basal-Tspan8-pos,exp4,p2,L05,214507.2969,97878.875,143626,139491,100921.625,90582,112099.2845,22473.44647,5.726125608,705.5168158,796.8535768,26737.60464,basal,basal-Tspan8-pos
P108,N253,p2-A06-basal-Tspan8-neg-K4-F9689,P108T0173_basal-Tspan8-neg,exp4,p2,A06,165242.7031,88827.02344,121915,96365.5,83648.90625,75499,53379.61309,4500.63898,335.242101,378.7261507,114.5476686,1847.25887,basal,basal-Tspan8-neg
P108,N253,p2-B06-basal-Tspan8-neg-K4-F9689,P108T0174_basal-Tspan8-neg,exp4,p2,B06,155909.1875,105455.2578,96891,109701.9063,113487.3594,63350,59282.30197,3995.981484,375.8238608,291.9325853,-133.8566664,969.9877087,basal,basal-Tspan8-neg
P108,N253,p2-C06-luminal-Sca1-neg-K4-F9689,P108T0175_luminal-Sca1-neg,exp4,p2,C06,229320.9844,96226.07813,156182,121337.7031,101506.0938,78340,16248.58072,104871.6051,224.331133,-220.4276433,1213.524948,94565.10239,luminal,luminal-Sca1-neg
P108,N253,p2-D06-luminal-Sca1-neg-K4-F9689,P108T0176_luminal-Sca1-neg,exp4,p2,D06,126220.0859,107846.8281,76701,235163.5,115464.875,133475,31933.51235,81665.07021,779.1044485,964.9219033,824.1435295,81453.32538,luminal,luminal-Sca1-neg
P108,N253,p2-E06-luminal-Sca1-pos-K4-F9689,P108T0177_luminal-Sca1-pos,exp4,p2,E06,108748.6406,102367.8359,69621,192211.7969,105753.1953,119115,24019.84576,74022.1164,-142.8754646,-251.1796289,3842.457032,11790.38593,luminal,luminal-Sca1-pos
P108,N253,p2-F06-luminal-Sca1-pos-K4-F9689,P108T0178_luminal-Sca1-pos,exp4,p2,F06,111455.3984,99363.91406,73511,205991.5,107117.0859,126029,10965.394,79264.53871,-769.5097907,-174.7458654,24910.8623,6767.858843,luminal,luminal-Sca1-pos
P108,N253,p2-G06-basal-Tspan8-pos-K4-F9689,P108T0179_basal-Tspan8-pos,exp4,p2,G06,172418.2656,90594.69531,124727,87507.20313,97092.60938,59066,114967.7441,4262.046233,51.54304784,-484.5354066,-208.7718994,7053.276755,basal,basal-Tspan8-pos
P108,N253,p2-H06-luminal-Sca1-pos-K4-F9739,P108T0180_luminal-Sca1-pos,exp4,p2,H06,196711.4844,92654.61719,139137,137914.7031,88466.71094,102167,8934.110386,67973.89098,-170.9825291,808.6262077,1735.509844,133894.7232,luminal,luminal-Sca1-pos
P108,N253,p2-I06-luminal-Sca1-neg-K4-F9739,P108T0181_luminal-Sca1-neg,exp4,p2,I06,122115.8438,90834.61719,88105,186666.7031,96285.71094,127053,8082.836226,31136.94892,-259.6632204,449.1866179,549.2906949,3802.047285,luminal,luminal-Sca1-neg
P108,N253,p2-J06-luminal-Sca1-pos-K4-F9739,P108T0182_luminal-Sca1-pos,exp4,p2,J06,212442.4375,93957.53906,148180,172425,93683.02344,120620,29714.92529,95173.67974,-1032.513543,1041.931715,2012.541217,261369.9736,luminal,luminal-Sca1-pos
