"","FSC.A","FSC.H","FSC.W","BSC.A","BSC.H","BSC.W","DAPI","H2Db","HLA","Well","Annot","CB"
"2749",222874.2,86997.12,263,42424.05,16485.28,263,-44.44685,2436.075,69.32559,NA,"not_sorted",NA
"2750",416625.8,110709.8,394,134587.8,36863.68,394,36.49125,51190.42,-620.5908,NA,"not_sorted",NA
"2751",542110.9,140569,438,200254.8,51023.84,438,254.7881,71738.98,30.59852,NA,"not_sorted",NA
"2752",240199.5,89134.08,276,51908.73,17932.32,276,103.2729,50901.31,-366.0365,NA,"not_sorted",NA
"2753",371443.1,112857.9,360,115020.5,33127.36,360,111.5499,93549.23,-29.0012,NA,"not_sorted",NA
"2754",302521.9,93439.36,327,86403.55,26738.88,327,182.5711,3317.572,100.4351,NA,"not_sorted",NA
"2755",468800.8,145676.2,382,100818.8,31480.96,382,-30.71621,152930.4,534.1077,NA,"not_sorted",NA
"2756",394739.6,105761.6,384,68129.02,19387.2,384,53.24123,13746.74,-169.5426,NA,"not_sorted",NA
"2757",294191.7,102132.8,309,45022.61,14985.6,309,92.54779,11865.65,471.9917,NA,"not_sorted",NA
"2758",653415.9,146090.6,491,143495.9,30854.88,491,100.2369,4434.462,-3.797297,NA,"not_sorted",NA
"2759",386416.7,96044.48,400,144195.3,38465.28,400,199.7233,31668.36,-351.3968,NA,"not_sorted",NA
"2760",311723,102565.1,321,83997.04,26517.12,321,183.2199,42754.19,286.8521,NA,"not_sorted",NA
"2761",406391.3,120736,375,130713.8,40328.96,375,246.913,73705.82,1949.068,NA,"not_sorted",NA
"2762",277995.6,94601.92,306,80373.37,26589.92,306,13.6658,87381.07,473.7171,NA,"not_sorted",NA
"2763",338363.5,95399.36,358,107363.2,33593.28,358,57.31348,88365.17,-392.335,NA,"not_sorted",NA
"2764",701046.5,162267.8,506,266872.4,61131.84,506,525.2579,1618.252,57.64838,NA,"not_sorted",NA
"2765",633477.9,154190.4,465,196075.8,45493.28,465,170.9993,79751.59,386.0413,NA,"not_sorted",NA
"2766",293025.1,89496.96,325,62714.37,20546.4,325,55.46444,11172.55,-50.95688,NA,"not_sorted",NA
"2767",294680.6,100885.1,314,82580.12,27165.6,314,168.3064,42271.41,-293.8124,NA,"not_sorted",NA
"2768",645910.4,151742.1,521,338895.8,75252.8,521,87.02278,33406.51,-43.48395,NA,"not_sorted",NA
"2769",320840.8,104894.7,331,59926.83,18043.2,331,104.5835,92232.84,1301.031,NA,"not_sorted",NA
"2770",334561.9,110859.8,332,84236.15,27201.44,332,53.20628,81326.26,199.6522,NA,"not_sorted",NA
"2771",405743.6,129371.2,362,97262.41,29777.44,362,266.6379,73985.05,253.9643,NA,"not_sorted",NA
"2772",317838,110635.8,318,59744.33,19971.84,318,106.3581,87752.45,-645.6691,NA,"not_sorted",NA
"2773",306576.7,108993.9,312,65459.7,21780.64,312,304.3876,68235.89,69.17311,NA,"not_sorted",NA
"2774",677590.7,135927.7,519,160016.9,36940.96,519,243.9596,2038.905,266.7567,NA,"not_sorted",NA
"2775",735831.4,162411.2,512,223254.5,52902.08,512,177.6125,41630.38,221.116,NA,"not_sorted",NA
"2776",536420.9,110747.8,505,229227.9,50256.64,505,569.8871,426.4821,2323.945,NA,"not_sorted",NA
"2777",351380.7,95428.48,365,65272.88,19576.48,365,115.7517,24284.83,-213.3149,NA,"not_sorted",NA
"2778",457439.5,144251.5,378,118397.6,33670.56,378,175.318,145261.3,763.9788,NA,"not_sorted",NA
"2779",345039.4,98293.44,362,62079.2,19966.24,362,70.36758,30788.83,-501.4306,NA,"not_sorted",NA
"2780",501045.4,115223.4,450,123444.5,30528.96,450,290.5934,59647.09,-718.7787,NA,"not_sorted",NA
"2781",346992.2,107152.6,348,77790.66,23224.32,348,30.63039,18276.29,-327.6921,NA,"not_sorted",NA
"2782",463176.1,106928.6,447,182520.6,39716.32,447,401.9243,79651.39,-1272.628,NA,"not_sorted",NA
"2783",358238.8,103951.7,359,78868.85,22845.76,359,83.36797,403.8755,12.98786,NA,"not_sorted",NA
"2784",699315.4,144757.8,541,236601.7,48612.48,541,37766.05,2618.783,191.288,NA,"not_sorted",NA
"2785",582865.3,122068.8,486,177977.4,39409.44,486,149.8058,56734.21,-439.4713,NA,"not_sorted",NA
"2786",233855.3,76585.6,282,30457.78,9205.28,282,39.61176,5325.67,-68.23486,NA,"not_sorted",NA
"2787",382174.2,99473.92,388,123918.6,34247.36,388,203.3387,108620.6,-179.8323,NA,"not_sorted",NA
"2788",273739.3,91394.24,306,71994.48,23773.12,306,116.3424,71484.38,198.3289,NA,"not_sorted",NA
"2789",232763,78637.44,282,54077.1,18141.76,282,378.7693,48132.88,22.55198,NA,"not_sorted",NA
"2790",505726.2,124606.7,435,206709.2,55203.68,435,310.3745,32632.56,6.699216,NA,"not_sorted",NA
"2791",267431.5,86887.36,305,66730.84,22140.16,305,54.63939,11687.32,-128.9698,NA,"not_sorted",NA
"2792",545721.9,127456,457,175679.7,42490.56,457,170.6577,9187.671,-125.4496,NA,"not_sorted",NA
"2793",346314.9,101787.8,358,128933.8,37001.44,358,1304.146,103908.7,-916.2248,NA,"not_sorted",NA
"2794",473266.2,110351.4,439,179182.7,42691.04,439,219.7148,78753.52,-1463.9,NA,"not_sorted",NA
"2795",381497,115581.8,362,110554.4,29501.92,362,202.6795,104239.7,1246.977,NA,"not_sorted",NA
"2796",371748.6,116417.3,350,102786.8,30831.36,350,260.7912,66896.07,361.6085,NA,"not_sorted",NA
"2797",421302.6,140654.1,360,81739.25,25469.92,360,137.7526,61117.27,90.38163,NA,"not_sorted",NA
"2798",318061.3,83733.44,373,80487.85,22572.48,373,159.2451,3805.125,-27.38291,NA,"not_sorted",NA
"2799",489403.1,152057.9,388,125494.7,36809.92,388,287.4423,117160.3,1644.521,NA,"not_sorted",NA
"2800",492501.6,154822.1,384,111765.8,31722.88,384,148.2408,146544.6,781.9461,NA,"not_sorted",NA
"2801",472811.9,133280,401,173696.3,42476,401,198.8016,29272.86,126.3384,NA,"not_sorted",NA
"2802",475540.1,151061.1,377,101634.6,30362.08,377,120.8464,54617.77,324.9689,NA,"not_sorted",NA
"2803",339403.9,101705,346,101742,31778.88,346,383.0358,36600.93,-2.777869,NA,"not_sorted",NA
"2804",517473.9,137258.2,423,126608.9,34335.84,423,98.12405,510.1131,15.626,NA,"not_sorted",NA
"2805",319640.4,105096.3,326,40743.3,13478.08,326,83.06448,16880.77,-204.7475,NA,"not_sorted",NA
"2806",619298.6,139587.8,484,237424.8,60200,484,446.1337,5273.847,520.0129,NA,"not_sorted",NA
"2807",391710.8,132847.7,350,85319.07,25357.92,350,-24.09576,111430.8,814.1403,NA,"not_sorted",NA
"2808",291043,100822.4,308,76242.9,26400.64,308,167.4279,35381.02,122.9261,NA,"not_sorted",NA
"2809",455998.9,104166.7,442,216002.3,53259.36,442,1191.894,595.614,139.1093,NA,"not_sorted",NA
"2810",272810.6,90630.4,304,50027.72,16182.88,304,45.39899,88684.02,-1051.694,NA,"not_sorted",NA
"2811",330623.3,102206.7,341,89377.23,28104.16,341,143.837,54369.74,408.8905,NA,"not_sorted",NA
"2812",306195.9,99382.08,322,51364.83,16896.32,322,148.6753,507.4181,-10.04851,NA,"not_sorted",NA
"2813",400747.1,100186.2,407,87811.95,25068.96,407,100.5626,304.4883,-2.921563,NA,"not_sorted",NA
"2814",414515.5,115373.4,388,101728.8,30861.6,388,108.1933,80787.67,339.668,NA,"not_sorted",NA
"2815",553287.5,149728.3,427,135262.7,37039.52,427,35.06044,188961.1,1084.016,NA,"not_sorted",NA
"2816",278170.8,88623.36,312,87947.33,29047.2,312,214.8664,78207.86,502.6168,NA,"not_sorted",NA
"2817",333593.5,104796.2,337,95037.87,29770.72,337,180.6482,87090.16,253.868,NA,"not_sorted",NA
"2818",560731.4,142813.4,441,231812.7,61826.24,441,117.1432,14840.56,-7.600078,NA,"not_sorted",NA
"2819",276053.6,98161.28,300,67822.66,23440.48,300,72.15835,88642.87,957.5042,NA,"not_sorted",NA
"2820",278567.5,97536.32,301,44490.31,14879.2,301,19.08582,65351.74,211.6041,NA,"not_sorted",NA
"2821",467823.1,121137,424,193206.7,55621.44,424,201.7071,33719.3,-168.401,NA,"not_sorted",NA
"2822",237468.7,93856,269,45028.76,17231.2,269,21.05363,2070.286,15.61104,NA,"not_sorted",NA
"2823",322985.7,98689.92,338,107738.7,34219.36,338,211.2559,55451.33,214.6148,NA,"not_sorted",NA
"2824",382104.4,118388.5,356,108995.2,34171.2,356,85.49976,3215.632,70.30825,NA,"not_sorted",NA
"2825",328611.3,108286.1,330,78449.05,24923.36,330,90.86781,90908.95,299.578,NA,"not_sorted",NA
"2826",433511.3,102943.7,434,146591.3,38768.8,434,268.4003,1070.027,59.4231,NA,"not_sorted",NA
"2827",532496.4,116043.2,489,121646.7,24767.68,489,172.6746,75043.63,-539.8531,NA,"not_sorted",NA
