Type	Gene
Basal	Scarf2
Basal	Sema3c
Basal	Mrvi1
Basal	Tmem178
Basal	Tshz3
Basal	Ppp1r3c
Basal	Cdh13
Basal	Tgfbr3
Basal	Gng11
Basal	Enpp2
Basal	Axl
Basal	Htra1
Basal	Acta2
Basal	Jam2
Basal	Lgals7
Basal	Sox11
Basal	Cd70
Basal	Rasl12
Basal	Maob
Basal	Jam3
Basal	Snca
Basal	Pvrl3
Basal	Antxr1
Basal	Gnai1
Basal	Fabp5
Basal	Itga9
Basal	Vsnl1
Basal	Ucn2
Basal	Pgf
Basal	Sorbs1
Basal	Arhgap20
Basal	Klhl29
Basal	Cav1
Basal	Gpc3
Basal	Aqp9
Basal	Pard6g
Basal	Lgals1
Basal	Has2
Basal	Sdpr
Basal	Igfbp4
Basal	Tbx2
Basal	Mef2c
Basal	Lims2
Basal	Bnc1
Basal	Matn2
Basal	Mfng
Basal	Dst
Basal	Thsd1
Basal	Popdc2
Basal	Tmem204
Basal	Vgll3
Basal	Krt75
Basal	Il24
Basal	Col9a2
Basal	Slit2
Basal	4930583H14Rik
Basal	Prrx1
Basal	Pkd2
Basal	Leprel1
Basal	Sh3tc1
Basal	Mia1
Basal	Ankrd1
Basal	Lbh
Basal	Ccdc3
Basal	Col12a1
Basal	Slc27a6
Basal	Rhoj
Basal	Igfbp6
Basal	Slc2a3
Basal	Nrp1
Basal	Egr2
Basal	Trim9
Basal	Flrt2
Basal	Ppap2a
Basal	Plekha4
Basal	6330406I15Rik
Basal	Serpinf1
Basal	Tns1
Basal	Col23a1
Basal	Efcab1
Basal	Adamts2
Basal	Etv5
Basal	Plxna2
Basal	Crlf1
Basal	Pdgfa
Basal	Flnc
Basal	Slc38a5
Basal	Gnb4
Basal	Ptpre
Basal	Ltbp4
Basal	Fam101b
Basal	Pknox2
Basal	Thbs1
Basal	Agpat4
Basal	Lrp4
Basal	Vim
Basal	Nptx2
Basal	Akap2
Basal	Ctnnal1
Basal	Fam176a
Basal	Kank4
Basal	Ppp2r2b
Basal	Chst7
Basal	Epdr1
Basal	Krt16
Basal	Syde1
Basal	Tinagl1
Basal	Heg1
Basal	Svep1
Basal	Dock10
Basal	4632428N05Rik
Basal	Gem
Basal	Rcn3
Basal	Fhl1
Basal	Csrp2
Basal	Nt5e
Basal	Mical2
Basal	Col16a1
Basal	Clip3
Basal	Il1b
Basal	Rarres2
Basal	Phldb1
Basal	1300014I06Rik
Basal	Adarb1
Basal	Col5a1
Basal	Srpx
Basal	Tmem47
Basal	Lag3
Basal	Mcam
Basal	Srgn
Basal	Sorcs1
Basal	Epas1
Basal	Calml3
Basal	Nxn
Basal	Prickle2
Basal	Sh2d5
Basal	Csdc2
Basal	Mmp2
Basal	Ctgf
Basal	Pkp1
Basal	Zc3h12b
Basal	Ngf
Basal	Phlda3
Basal	Peg3
Basal	Ssh1
Basal	Hspg2
Basal	Ets1
Basal	Tmem64
Basal	Nrp2
Basal	Stac
Basal	Ptprt
Basal	Il6
Basal	She
Basal	Smtn
Basal	Ptpla
Basal	Prickle1
Basal	Dchs1
Basal	Gpr176
Basal	Scn4b
Basal	Jag1
Basal	Rnf165
Basal	Efnb1
Basal	Neto2
Basal	2010111I01Rik
Basal	Pcdh7
Basal	Chst3
Basal	Mrgprf
Basal	Asphd2
Basal	Upp1
Basal	Col5a2
Basal	Serping1
Basal	Rbpms
Basal	Plch2
Basal	1190002N15Rik
Basal	1600014C10Rik
Basal	Lrp1
Basal	Ntrk2
Basal	Lrrn1
Basal	Serpinh1
Basal	Nsg1
Basal	Cryab
Basal	Ttyh2
Basal	Nnat
Basal	Fam184a
Basal	Rcsd1
Basal	Tcf4
Basal	Sgip1
Basal	Nnmt
Basal	9830001H06Rik
Basal	Trim29
Basal	Lrch2
Basal	Wtip
Basal	Mpdz
Basal	Lep
Basal	Arsi
Basal	Nrcam
Basal	Fgl2
Basal	Itga6
Basal	3632451O06Rik
Basal	Fzd8
Basal	Msx1
Basal	Gjc1
Basal	Lgr6
Basal	Lamb3
Basal	Ednrb
Basal	Reck
Basal	Pdlim4
Basal	Edaradd
Basal	Pls3
Basal	Cnrip1
Basal	Sdk2
Basal	Fas
Basal	Stard8
Basal	Ext1
Basal	Pdlim7
Basal	Slc6a8
Basal	Pcolce
Basal	Prdm1
Basal	Sntb2
Basal	Slco3a1
Basal	Crispld1
Basal	Grasp
Basal	Cygb
Basal	Gpr3
Basal	Kcnip3
Basal	Tox
Basal	Cdh4
Basal	Aldh1l2
Basal	Fam70b
Basal	Lima1
Basal	Twist2
Basal	Dusp7
Basal	Pou3f1
Basal	Trpc1
Basal	Cadm1
Basal	Abi3bp
Basal	Prnp
Basal	Gpsm1
Basal	Bves
Basal	Slc1a5
Basal	Slit3
Basal	Tacc1
Basal	Kcnma1
Basal	Cpxm1
Basal	Pla2g7
Basal	Tubb6
Basal	Pcdh18
Basal	Mest
Basal	6230427J02Rik
Basal	Hspb2
Basal	C1qtnf4
Basal	1500011H22Rik
Basal	Slc27a3
Basal	Ppp1r16b
Basal	Tcf3
Basal	Osbpl6
Basal	Lphn1
Basal	Cd36
Basal	Nlgn2
Basal	Fam132a
Basal	Egfr
Basal	Card10
Basal	Qk
Basal	Nbl1
Basal	Egr3
Basal	Lifr
Basal	Klhdc5
Basal	Sphk1
Basal	A130022J15Rik
Basal	Pkd1
Basal	Icam1
Basal	Fbln7
Basal	Lepre1
Basal	Lcat
Basal	Golim4
Basal	Fgfrl1
Basal	Ebf3
Basal	Elk3
Basal	Itgb4
Basal	Ahi1
Basal	Tmem201
Basal	Cspg4
Basal	Bcl2l11
Basal	Prx
Basal	Mxra7
Basal	Lamc1
Basal	Cnp
Basal	Tmem121
Basal	Ssbp2
Basal	Ccdc85b
Basal	Luzp1
Basal	Evc
Basal	Rfx2
Basal	Ptgs2
Basal	Acvr2a
Basal	Zfp219
Basal	Ppap2b
Basal	Nudt10
Basal	Tspyl3
Basal	Wipf1
Basal	Myc
Basal	Chsy3
Basal	Tie1
Basal	Gpr87
Basal	Eid3
Basal	Il6st
Basal	4732471D19Rik
Basal	Cdkn1a
Basal	2810055F11Rik
Basal	Gsn
Basal	Gyltl1b
Basal	Dusp6
Basal	Vit
Basal	Tes
Basal	Ttl
Basal	Sgcb
Basal	Tspyl2
Basal	ORF63
Basal	Mtss1
Basal	Tsku
Basal	Dzip1l
Basal	Unc45a
Basal	Klhl21
Basal	Slc4a3
Basal	Sec24d
Basal	Zfp423
Basal	Fbxo30
Basal	Rusc2
Basal	Cacnb4
Basal	Pcdh19
Basal	Podn
Basal	Amotl1
Basal	Lca5
Basal	Fez1
Basal	Acer2
Basal	Qrich2
Basal	BC024659
Basal	Hdac4
Basal	Pxn
Basal	Rnd3
Basal	Bag3
Basal	Erf
Basal	Scml2
Basal	Bcar1
Basal	Hgfac
Basal	Gpr124
Basal	Slc25a4
Basal	Foxp1
Basal	Il17rd
Basal	Dcbld2
Basal	Myocd
Basal	Cdc42ep2
Basal	Mbnl1
Basal	Rab34
Basal	Eepd1
Basal	Kdelc1
Basal	Malt1
Basal	2310014H01Rik
Basal	Calu
Basal	Yaf2
Basal	Ski
Basal	Akt3
Basal	Spred1
Basal	Slc12a4
Basal	Pcbp4
Basal	Cblb
Basal	Bach1
Basal	Siah2
Basal	Bcor
Basal	D10Ertd610e
Basal	Rgnef
Basal	Fermt2
Basal	Tm7sf3
Basal	Rarb
Basal	Rai12
Basal	Dcun1d3
Basal	Hras1
Basal	Bmp1
Basal	Pelo
Basal	Atp2a2
Basal	Dmwd
Basal	Fxyd1
Basal	Rapgef1
Basal	Arntl
Basal	Itgb1
Basal	Stxbp4
Basal	Pcdhgc3
Basal	Tcof1
