Type	Gene
Luminal H-S	Tmem56
Luminal H-S	Nek7
Luminal H-S	Krt7
Luminal H-S	Cxcl15
Luminal H-S	Cdo1
Luminal H-S	Phyh
Luminal H-S	Samd5
Luminal H-S	Capsl
Luminal H-S	Wnt4
Luminal H-S	Slc7a2
Luminal H-S	Arg1
Luminal H-S	Alcam
Luminal H-S	Piezo2
Luminal H-S	S100a11
Luminal H-S	Tmprss2
Luminal H-S	Tspan13
Luminal H-S	Nrxn3
Luminal H-S	Itih5
Luminal H-S	Dnajc12
Luminal H-S	Pgr
Luminal H-S	Podxl
Luminal H-S	Mtmr7
Luminal H-S	Kif5c
Luminal H-S	Esr1
Luminal H-S	Foxa1
Luminal H-S	Arg2
Luminal H-S	Lmo7
Luminal H-S	Tspan1
Luminal H-S	Fam43a
Luminal H-S	Cldn10
Luminal H-S	Ube2q2
Luminal H-S	Ktn1
Luminal H-S	Tmem158
Luminal H-S	Mlph
Luminal H-S	Aqp5
Luminal H-S	Fgfr2
Luminal H-S	Cmtm8
Luminal H-S	Cdk19
Luminal H-S	Ttc6
Luminal H-S	Trpc6
Luminal H-S	Lasp1
Luminal H-S	Mboat1
Luminal H-S	Slc5a5
Luminal H-S	Scnn1a
Luminal H-S	Zfp664
Luminal H-S	Krt18
Luminal H-S	Slc38a1
Luminal H-S	Glul
Luminal H-S	Tacstd2
Luminal H-S	Cystm1
Luminal H-S	Prag1
Luminal H-S	Dipk1a
Luminal H-S	F3
Luminal H-S	Col8a1
Luminal H-S	Fgb
Luminal H-S	Celf4
Luminal H-S	Tph1
Luminal H-S	Ly6a
Luminal H-S	Pof1b
Luminal H-S	Gclc
Luminal H-S	Adam10
Luminal H-S	Vill
Luminal H-S	Gm49980
Luminal H-S	Cyp3a57
Luminal H-S	Nupr1
Luminal H-S	Crym
Luminal H-S	Prom1
Luminal H-S	Hipk2
Luminal H-S	Psmb8
Luminal H-S	Clip4
Luminal H-S	Fuca1
Luminal H-S	Krt8
Luminal H-S	Cab39l
Luminal H-S	Abcc3
Luminal H-S	Bst2
Luminal H-S	Hist1h2bc
Luminal H-S	Enho
Luminal H-S	Sgms1
Luminal H-S	Cldn4
Luminal H-S	Abhd2
Luminal H-S	Bmp3
Luminal H-S	Fxyd2
Luminal H-S	Plac8
Luminal H-S	Psmb9
Luminal H-S	Manba
Luminal H-S	Gpsm3
Luminal H-S	9530014B07Rik
Luminal H-S	Rab27b
Luminal H-S	Fbxo6
Luminal H-S	Ccdc68
Luminal H-S	Cemip2
Luminal H-S	Pir
Luminal H-S	Gsr
Luminal H-S	Agtr1a
Luminal H-S	A830008E24Rik
Luminal H-S	Inppl1
Luminal H-S	Zfp979
Luminal H-S	Iigp1
Luminal H-S	Cxcl17
Luminal H-S	Ndufa7
